Author;Type of resin;Isophtalic polyester resin;Orthophtalic polyester resin;Vinylester resin;Phenolic resin;Epoxy resin;Type of fiber;Glass fiber;Carbon fiber;Basalt fiber;Manufacturing process;Pultrusion;Hand lay-up;Filament winding;VARTM;Fiber volume fraction;Profile thickness (mm);Coupon description;Aging effect;Steady condition;Cyclic condition;Immersion;Moisture;Presence of salts;Salt concentration (g/L);pH;Relative humidity;Sustained loading;Exposure time (hours);Exposure time (days);log10(t);Min. exposure temperature (°C);Max. exposure temperature (°C);Avg. exposure temperature (°C);Temperature range (°C);Temperature x time;k(T);1/T (Kelvin);Unaged elastic modulus (GPa);Residual elastic modulus (GPa);Elastic modulus retention
Fam et al. (2016);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.32;4.2;I-shaped deck;salt water;1;0;1;0;1;30;7;1;0;3600;150;2.179;23;23;23;0;376.7;5.903;0;29.5;28.3;0.959
Fam et al. (2016);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.32;4.2;I-shaped deck;salt water;1;0;1;0;1;30;7;1;0;5376;224;2.352;23;23;23;0;385.9;5.903;0;29.5;30.2;1.024
Fam et al. (2016);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.32;4.2;I-shaped deck;salt water;1;0;1;0;1;30;7;1;0;0;0;0;40;40;40;0;0;30.85;0;29.5;29.5;1
Fam et al. (2016);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.32;4.2;I-shaped deck;salt water;1;0;1;0;1;30;7;1;0;336;14;1.176;40;40;40;0;560.2;30.85;0;29.5;29.9;1.014
Fam et al. (2016);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.32;4.2;I-shaped deck;salt water;1;0;1;0;1;30;7;1;0;792;33;1.531;40;40;40;0;594.5;30.85;0;29.5;28.3;0.959
Fam et al. (2016);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.32;4.2;I-shaped deck;salt water;1;0;1;0;1;30;7;1;0;2328;97;1.991;40;40;40;0;637.7;30.85;0;29.5;27.3;0.925
Fam et al. (2016);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.32;4.2;I-shaped deck;salt water;1;0;1;0;1;30;7;1;0;3600;150;2.179;40;40;40;0;655.1;30.85;0;29.5;26.8;0.908
Fam et al. (2016);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.32;4.2;I-shaped deck;salt water;1;0;1;0;1;30;7;1;0;5376;224;2.352;40;40;40;0;671.1;30.85;0;29.5;26.4;0.895
Fam et al. (2016);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.32;4.2;I-shaped deck;salt water;1;0;1;0;1;30;7;1;0;0;0;0;55;55;55;0;0;115.115;0;29.5;29.5;1
Fam et al. (2016);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.32;4.2;I-shaped deck;salt water;1;0;1;0;1;30;7;1;0;336;14;1.176;55;55;55;0;770.3;115.115;0;29.5;28.8;0.976
Fam et al. (2016);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.32;4.2;I-shaped deck;salt water;1;0;1;0;1;30;7;1;0;792;33;1.531;55;55;55;0;817.5;115.115;0;29.5;29.1;0.986
Fam et al. (2016);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.32;4.2;I-shaped deck;salt water;1;0;1;0;1;30;7;1;0;2328;97;1.991;55;55;55;0;876.8;115.115;0;29.5;26.6;0.902
Fam et al. (2016);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.32;4.2;I-shaped deck;salt water;1;0;1;0;1;30;7;1;0;3600;150;2.179;55;55;55;0;900.8;115.115;0;29.5;27.5;0.932
Fam et al. (2016);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.32;4.2;I-shaped deck;salt water;1;0;1;0;1;30;7;1;0;5376;224;2.352;55;55;55;0;922.8;115.115;0;29.5;27.5;0.932
Fam et al. (2016);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.32;4.2;M profile;salt water;1;0;1;0;1;30;7;1;0;0;0;0;23;23;23;0;0;5.903;0;18.9;18.9;1
Fam et al. (2016);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.32;4.2;M profile;salt water;1;0;1;0;1;30;7;1;0;336;14;1.176;23;23;23;0;322.1;5.903;0;18.9;17.6;0.931
Fam et al. (2016);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.32;4.2;M profile;salt water;1;0;1;0;1;30;7;1;0;792;33;1.531;23;23;23;0;341.9;5.903;0;18.9;17.7;0.937
